,index,subj_score,simi_score,vader_score,scores_flair,tw_subj_score,tw_simi_score,tw_vader_score,tw_scores_flair
2,2021-09-03,0.08397959464757221,-0.10663700997082204,0.17108000000000012,0.6938089117407799,0.0,-0.05389559460147695,-0.033913636363636354,0.6666263016787443
3,2021-09-06,0.04166536407761238,-0.10020238301439358,0.06991499999999992,0.6734436750411987,0.019906677685950416,-0.04426127450980394,0.005613636363636375,0.6537572308020159
4,2021-09-07,0.07887316124394252,-0.11569633339080668,0.15500000000000008,0.7249420553445816,0.028513636363636363,-0.04050707070707072,-0.00019999999999999058,0.6377925493500449
5,2021-09-08,0.15264103819947433,-0.01703042173536024,0.3783899999999999,0.7836943656206131,0.04735617027417027,-0.05525901854981678,0.09612727272727283,0.6846811094067313
6,2021-09-09,0.12186992815804361,-0.10232453950849867,0.2468399999999998,0.7506991282105446,0.02787272727272727,-0.042455034213098715,0.005281818181818195,0.6535420255227522
8,2021-09-13,0.11331241714219412,-0.07367914627168434,0.2671399999999998,0.7277269303798676,0.018851136363636365,-0.0424962914862915,0.03494545454545449,0.6529392247850244
9,2021-09-14,0.12436807173915457,-0.058169352985920755,0.2412049999999998,0.7346963956952095,0.007611818181818181,-0.058093131313131326,-0.0034363636363636306,0.678944389928471
10,2021-09-15,0.15777571635965273,-0.03741212092861257,0.37685499999999983,0.7574086010456085,0.0,-0.043465447330447333,0.030740909090909055,0.6588915451006456
11,2021-09-16,0.1158905972161409,-0.05156340902866052,0.28353999999999985,0.7466434195637703,0.01271590909090909,-0.046462500000000004,-0.006449999999999991,0.6513521481644023
12,2021-09-17,0.16372033901298694,-0.044528017713190225,0.33603999999999984,0.7636104226112366,0.0,-0.05031424242424242,0.010450000000000015,0.6450778679414229
13,2021-09-20,0.088643652694844,-0.11780021262652327,0.18380000000000002,0.7151562601327897,0.008553863636363635,-0.06666605604921397,-0.006695454545454537,0.6791965555060994
14,2021-09-22,0.10357488946523394,-0.0690972049871684,0.20802999999999977,0.7210704639554024,0.0,-0.04596283297175745,-0.022009090909090902,0.6494366336952556
15,2021-09-23,0.15357991054683912,0.040356080946161055,0.41301999999999983,0.7896758422255516,0.0,-0.045869783549783556,-0.006145454545454535,0.6390880915251645
16,2021-09-24,0.14945798219303244,-0.08308755664763798,0.3277699999999998,0.7267945379018783,-0.0019799999999999996,-0.04428275058275056,-0.038481818181818166,0.650754221461036
17,2021-09-27,0.0767603932011594,-0.11205618374014747,0.16735500000000011,0.709469522535801,0.007734876033057851,-0.05761005417584366,-0.015590909090909082,0.6654487983746962
18,2021-09-28,0.10537152961366622,-0.10318387415496051,0.21081999999999979,0.7271298661828041,0.022195517676767675,-0.05467370029736873,0.036531818181818124,0.6538378352468665
22,2021-10-04,0.22279540054942126,0.16872834296363687,0.5444699999999999,0.8382173091173172,0.011536931818181818,-0.06701426749767177,0.01236363636363638,0.6571748310869391
23,2021-10-05,0.11123159346474207,-0.11463715675734738,0.22484999999999977,0.7102999582886695,0.012419034090909092,-0.058643632756132734,0.045390909090909,0.6585715819488872
24,2021-10-06,0.1075045321941096,-0.0764636427523884,0.25868499999999983,0.7607555568218232,0.028882792207792208,-0.052631123188266044,0.06469545454545446,0.6877081908962943
25,2021-10-07,0.12025783460904742,-0.07694143838646464,0.2652399999999998,0.7041420876979828,0.017307045454545453,-0.05888156478228696,0.0303863636363636,0.6576487449082461
26,2021-10-08,0.17478295980949965,0.06161569043543462,0.45430499999999985,0.8054152980446816,0.009078528138528138,-0.048966083916083904,-0.01714090909090908,0.6536742936481129
27,2021-10-11,0.18029789153508305,-0.004278178113626718,0.40585999999999983,0.7441659495234489,0.021948727272727273,-0.045665520065520056,0.01032727272727274,0.6425767161629417
28,2021-10-12,0.20894163368655674,0.06906742212857948,0.42962499999999987,0.8249731346964836,0.039035495867768596,-0.062383038523444706,0.05744999999999992,0.7122261578386481
29,2021-10-13,0.21549577992927887,-0.01543788992605688,0.42196499999999987,0.7806202784180641,0.015435727272727273,-0.06890791608506724,0.03857272727272721,0.6807595220479098
30,2021-10-14,0.2616844395540042,0.2989191324459457,0.5864399999999999,0.8376806601881981,0.02464715909090909,-0.0439168087121212,-0.0037136363636363526,0.6525589769536798
