,index,subj_score,simi_score,vader_score,scores_flair,tw_subj_score,tw_simi_score,tw_vader_score,tw_scores_flair
0,2021-09-02,0.06083363287072404,-0.09571846907049147,0.1555600000000001,0.7080406665802002,0.07938333333333333,-0.021027777777777774,0.05155000000000001,0.6939659714698792
2,2021-09-06,0.07558778759286053,-0.12520776275596862,0.13257500000000008,0.6868236765265465,-0.04993333333333333,-0.0812432950191571,-0.07776666666666665,0.6873080631097158
3,2021-09-07,0.0391432767226427,-0.08344501721074842,0.06813499999999992,0.6725589081645011,0.04269,-0.017565187908496732,0.1586333333333333,0.7541797359784445
6,2021-09-10,0.1643245359362062,-0.02324555933842259,0.3766799999999998,0.7498999208211898,-0.0008871794871794873,-0.09185735735735735,-0.03936666666666666,0.6957164307435354
7,2021-09-13,0.04693455756442953,-0.10080422107826384,0.06993499999999991,0.6685409680008888,0.03674,-0.06571226053639846,0.07236666666666668,0.6586716175079346
8,2021-09-14,0.10713814959357348,-0.10469789680347512,0.21451999999999974,0.7093998968601227,0.0495625,-0.07928111111111111,0.06468333333333336,0.6929611166318258
9,2021-09-15,0.0525056154152429,-0.09058844831223625,0.06977499999999992,0.672590608894825,0.06380372727272728,-0.05177251388888887,0.10296666666666666,0.8161463836828867
10,2021-09-16,0.04849353794011545,-0.08967431135093726,0.0698849999999999,0.6510291203856469,0.14213333333333333,-0.07722222222222223,0.11430000000000001,0.6975172360738119
11,2021-09-17,0.14250222258174516,-0.07059829780004474,0.3216299999999998,0.7534094423055648,0.026233333333333334,-0.06761250988142294,0.020883333333333347,0.7502607901891073
14,2021-09-22,0.09117615887159505,-0.12026908290098355,0.1729400000000001,0.6993036225438118,0.07529500000000001,-0.05715555555555555,0.10906666666666669,0.6337800224622091
16,2021-09-24,0.09478153020039136,-0.07679599616003224,0.20580499999999974,0.6914657235145569,-0.007259999999999999,-0.0733034188034188,-0.05203333333333332,0.6579029858112335
