Date,subj_score,simi_score,vader_score,scores_flair,tw_subj_score,tw_simi_score,tw_vader_score,tw_scores_flair
9/2/2021,0.31401104,0.652271643,0.764105,0.937484494,0.110067043,0.182909555,0.264107692,0.878886755
9/3/2021,0.358810695,0.887358428,0.906895,0.951294564,0.011649064,-0.03477203,0.085423077,0.740808028
9/6/2021,0.215057046,0.137514582,0.515105,0.783105882,0.058756081,-0.003425664,0.145134615,0.749684089
9/7/2021,0.38111842,0.927699879,0.91566,0.914144027,0.134263933,0.337552385,0.402903846,0.887628583
9/8/2021,0.410480677,0.965169032,0.9376,0.96159617,0.072626017,0.287470403,0.315507692,0.851185478
9/9/2021,0.380427936,0.992464236,0.951455,0.932290952,0.120158876,0.199969418,0.334038462,0.865276078
9/13/2021,0.37852061,0.838897188,0.89598,0.914645916,0.098875023,0.235883853,0.303057692,0.846288333
9/14/2021,0.384426656,1.048494853,0.96932,0.953716654,0.195269422,0.35992454,0.364946154,0.850815021
9/15/2021,0.322872171,0.718506891,0.783145,0.905770035,0.106050949,0.214551608,0.305646154,0.901778641
9/16/2021,0.398690947,0.936535533,0.891065,0.93812547,0.169242823,0.294240194,0.405673077,0.909875611
9/17/2021,0.395443914,1.009508554,0.972625,0.974377011,-0.020495865,-0.103808954,-0.086838462,0.718346891
9/20/2021,0.310251656,0.717846767,0.72622,0.900741889,0.043073492,0.10115851,0.1832,0.875595849
9/21/2021,0.414173798,0.958884672,0.944345,0.939176239,0.068061218,0.137605812,0.202157692,0.88829215
9/22/2021,0.363061221,0.82854435,0.86475,0.957178524,0.13470606,0.264258965,0.310615385,0.834140062
9/23/2021,0.391456468,1.011058456,0.971485,0.937514621,0.081203233,0.088482038,0.153826923,0.899325811
9/24/2021,0.379117762,0.880072503,0.88893,0.954469697,0.074747072,-0.050032064,0.113738462,0.718993643
9/27/2021,0.445983943,1.012766949,0.992615,0.948674738,0.13602819,0.252289126,0.337226923,0.899257013
9/28/2021,0.368950805,0.972104174,0.953585,0.906187306,0.105867411,0.123520285,0.197388462,0.889266314
9/29/2021,0.325151331,0.74564611,0.793995,0.911656328,0.128081887,0.215304893,0.340615385,0.822507535
9/30/2021,0.282103501,0.3332814,0.66695,0.836100326,0.078448773,0.052255107,0.147423077,0.83867657
10/1/2021,0.233344554,0.294183124,0.602025,0.793820573,0.044216538,-0.012143158,0.168846154,0.720210224
