Date,subj_score,simi_score,vader_score,scores_flair,tw_subj_score,tw_simi_score,tw_vader_score,tw_scores_flair
11/9/2021,0.377718895,0.878708839,0.84556,0.929446191,0.052197783,0.134344589,0.223444444,0.835978263
11/10/2021,0.336384756,0.797981078,0.87309,0.926400845,0.028522251,0.01717802,0.127503704,0.872742668
11/11/2021,0.34742856,0.586787898,0.77977,0.894084777,0.134775504,0.289889826,0.356855556,0.853171682
11/12/2021,0.339958657,0.617278123,0.804255,0.893027841,0.030966642,-0.051463039,0.065348148,0.76504985
11/15/2021,0.387518567,0.826762342,0.888145,0.951583154,0.023604801,0.013018662,0.097737037,0.870217853
11/16/2021,0.364284339,0.920749795,0.89215,0.929371606,0.174289254,0.297805691,0.427866667,0.859402939
11/17/2021,0.362576052,0.70973662,0.843225,0.933520785,0.159090306,0.247110381,0.343022222,0.868765946
11/18/2021,0.389925829,0.631426656,0.825115,0.82647453,0.09035059,0.142676826,0.257892593,0.857737442
11/19/2021,0.285025595,0.41227249,0.67998,0.90452048,0.103764242,-0.003950586,0.1561,0.775902589
11/22/2021,0.360369208,0.839017799,0.87632,0.929045576,0.092714862,0.061956612,0.177896296,0.85880578
11/23/2021,0.365707471,0.811615993,0.88611,0.924811237,0.09303272,0.174746633,0.288633333,0.853163693
11/24/2021,0.361182753,0.896601951,0.917645,0.960789637,0.162563581,0.501560964,0.492211111,0.911590285
11/25/2021,0.34063787,0.796864383,0.775265,0.92093491,0.1135336,0.22614888,0.351237037,0.809343927
11/26/2021,0.301061059,0.693855774,0.805575,0.913090245,0.01354,-0.050166829,0.009785185,0.701504646
11/29/2021,0.32024928,0.625608794,0.76993,0.932086177,0.134036294,0.166918035,0.282403704,0.864423226
11/30/2021,0.348601218,0.737859608,0.86922,0.903539753,0.086037925,0.144855876,0.24862963,0.849293671
12/1/2021,0.307483605,0.662250538,0.778635,0.904721768,0.129558909,0.272384481,0.330659259,0.894650839
12/2/2021,0.426578254,0.862664057,0.93292,0.924505839,0.084076698,0.134256964,0.131803704,0.853601562
12/3/2021,0.301242103,0.556991388,0.721315,0.890035385,0.050529127,-0.013801464,0.125840741,0.762276731
12/6/2021,0.334296995,0.728944332,0.85015,0.907726963,0.109412672,0.123940129,0.227255556,0.866787966
12/7/2021,0.361465261,0.750603147,0.83725,0.93377579,0.126459702,0.123133304,0.253937037,0.822334184
12/8/2021,0.319981873,0.612387341,0.78507,0.90431817,0.207256822,0.344926766,0.445444444,0.873978975
12/9/2021,0.383288785,0.866109869,0.88925,0.941377413,0.121475574,0.208151997,0.33042963,0.848984844
12/10/2021,0.264640949,0.474754547,0.699225,0.867104951,0.021338678,-0.065197179,0.059314815,0.718978646
12/13/2021,0.316943156,0.711838776,0.828045,0.886061902,0.099813881,0.270225168,0.319659259,0.899197393
12/14/2021,0.305514245,0.566639188,0.69526,0.935730492,0.066387068,0.098297092,0.202711111,0.834427946
12/15/2021,0.273022648,0.581822837,0.65927,0.92940035,0.172407191,0.300440962,0.398496296,0.857900432
