,index,subj_score,simi_score,vader_score,scores_flair,tw_subj_score,tw_simi_score,tw_vader_score,tw_scores_flair
1,2021-09-02,0.19776760576847147,-0.00541606762473053,0.4293099999999998,0.7665154606103897,0.012299000000000001,-0.06597853921836087,0.010025000000000011,0.724366518855095
3,2021-09-06,0.02208747029220779,-0.073877581300813,0.018265000000000014,0.6419684037566185,0.009854000000000002,-0.03597416666666666,-0.00709499999999999,0.6505161613225937
4,2021-09-07,0.15711118609532732,-0.06934637737733675,0.3293049999999998,0.7483117386698723,0.015955625,-0.06068144736842106,0.018145000000000015,0.6733945548534394
5,2021-09-08,0.17813549039253335,0.028427437644926223,0.4123499999999999,0.733004143834114,0.05207668181818183,-0.039171728680676046,0.1191850000000001,0.7061495870351792
6,2021-09-09,0.15068957799289134,-0.055510676722368715,0.3112899999999998,0.7269190430641175,0.009854000000000002,-0.0427760313501144,0.03009999999999998,0.6684236466884613
7,2021-09-10,0.11252415968670029,-0.011501089213180351,0.3119299999999999,0.7766904354095459,-0.014023059523809523,-0.07957949661084533,-0.04485999999999999,0.6779944062232971
8,2021-09-13,0.15354316874447585,-0.03691631959886744,0.3110199999999998,0.7580097049474717,0.03216175,-0.03922585280400235,0.08638499999999999,0.6984056264162064
9,2021-09-14,0.19518396047765596,-0.019535745036588104,0.3735249999999998,0.7471655905246735,0.0512325,-0.050204946803282725,0.09427000000000003,0.7398802369832993
10,2021-09-15,0.1751395428910758,0.012361814136963297,0.4239399999999998,0.7806854918599129,0.044308,-0.03065230994152045,0.10291500000000012,0.6964985102415084
11,2021-09-16,0.17902033001815582,-0.008113471355573271,0.41177499999999984,0.7878861382603646,0.014189000000000002,-0.04581544657097289,0.024745000000000017,0.6818263381719589
12,2021-09-17,0.023150169094256254,-0.073877581300813,0.018265000000000014,0.6554565966129303,0.004456590909090909,-0.0449312111460717,0.010780000000000012,0.6919694244861603
13,2021-09-20,0.13113987383420647,-0.07433370859251404,0.3069049999999998,0.7464171946048737,0.016556500000000002,-0.035849532859927605,0.020370000000000017,0.6841848433017731
14,2021-09-21,0.20422715154249443,0.046523131738454106,0.47165999999999986,0.7777753278613091,-0.003080340909090912,-0.054209990937011863,0.07723499999999993,0.7426955103874207
15,2021-09-22,0.13640128256662942,-0.10167687531218124,0.27540999999999977,0.7328086137771607,0.01710099285714286,-0.04896673881261125,0.03530499999999997,0.6693402737379074
16,2021-09-23,0.10942582053653047,-0.11150568465220694,0.22471999999999975,0.70986587703228,0.012869999999999998,-0.034758333333333336,0.011170000000000013,0.6553630441427231
